Tweet,Emotion
Sirf tum log apni khushi ke liye sidra sidra krte ho if u truely love Rashami to uske care bhi krte Iss sidra ki vajah se Rashami har din troll hoti hai I can bet if u stop this tag at least din band krke dekho no one troll Rashami .agr sidra sidra khelna h make whtsaap group,Anger
....na ola na Uber na metro na bus...akhir Kal hum log station pahuchege kaise?,Sad
Yo yo is back ab machega dhamaka,Happy
QMobile j5 /8 condition no any fault Any one want to purchase plz Contact me Wazirabad city District gujranwala,Neutral
Heart touching song last scene made me very sad best song ever song jese mast he video bi mast he,Happy
FIR nahi kr skti kya Railways in news waalo pr ?,Neutral
Acha mobile hai i am using one but they should bring its updated version now,Happy
Sir aap th lockdown start krne jaa rhe ho uske liye main apke sth hu but mari ek request hai ki aap salon and beauty parlours or spa ke bare main bhi socho main bhi salon main kaam krta hu mujhe apni family ko bhi dekhna h and my request h th lockdown opened ur salon.,Neutral
Saala Kiya drama chal Raha hai tweeter par. Koi idea hai Kisi ko please tell.,Anger
"aslam o alaikum, pm imran khan sy ye kehna chahta hun k dusry shehron main bady bady hospital or tiger force bhi aj tainat kr di hai lekin punjab k sheher bahawalnagar ko nzr andaz kiya ja rha hai ap usman buzdar bhi sirf chishtiyan tk aya news main name bahawalnagar ka aya hai",Anger
Behn ji uska bhi report hona chahiye ki gaadi sahi h ki kuch kharabi h..ye na ho ki km k baad ruk jaye..uska bhi ek report hota hai..aur abhi aur scooter niklenge Pehle aap thodi khabar padh le mujhe bhi yahi doubt hua ki baaki bus kyun nhi chalati lekin baad m sahi news dekha,Neutral
"Abey, air koi news tumhare paas nahin hai kiya..and you guys should change the name <a href="""">of.show.</a>.danda anda show..stupid ..give importance on other sports as well and discuss more about those games.",Anger
meri hasraton ka khayal kar mein udaas hon mujhay call kar,Happy
Abhi tak mhujy dm keo nahi kia,Neutral
Raja shb phichly saal ki News h..,Neutral
Khagaria jana hai sir. Please arrange for us.,Neutral
